node,degree,strength,betweenness,closeness,clustering,community
Dora M. Su´arez,3,3,0.0,0.24503311258278146,0.3333333333333333,91
S´ebastien Lozano,3,3,0.0,0.24503311258278146,0.3333333333333333,91
Viviana Giampaoli,3,3,0.0,0.0,0.3333333333333333,53
Karin A. Tamura,3,3,0.0,0.0,0.3333333333333333,53
Norma P. Caro,3,3,0.0,0.0,0.3333333333333333,53
Luiz J. Sim˜oes de Araujo,3,3,0.0,0.0,0.3333333333333333,53
"Case, B.S.",3,3,0.0,0.0,0.3333333333333333,56
"Buckley, H.L.",3,3,0.0,0.0,0.3333333333333333,56
"Barker Plotkin, A.",3,3,0.0,0.0,0.3333333333333333,56
"Ellison, A.M.3",3,3,0.0,0.0,0.3333333333333333,56
Abra˜ao D. C. Nascimento,3,3,0.0,0.2803030303030303,0.3333333333333333,67
Mahdi Rasekhi,3,3,0.0,0.2803030303030303,0.3333333333333333,67
N´ıvea B. da Silva,3,3,0.0,0.0,0.3333333333333333,57
Leila D. A. F. Amorim,3,3,0.0,0.0,0.3333333333333333,57
Enrico A. Colosimo,3,3,0.0,0.0,0.3333333333333333,57
Leo Heller,3,3,0.0,0.0,0.3333333333333333,57
N. Balakrishnan,3,3,0.0,0.18925831202046037,0.3622134499883192,32
Vera Tomazella,3,3,0.0,0.18925831202046037,0.3622134499883192,32
Javier Su´arez-Espinosa,3,3,0.0,0.0,0.3333333333333333,64
Jos´e A. Villase˜nor-Alva,3,3,0.0,0.0,0.3333333333333333,64
Annel Hurtado-Jaramillo,3,3,0.0,0.0,0.3333333333333333,64
Paulino P´erez-Rodr´ıguez,3,3,0.0,0.0,0.3333333333333333,64
Jos´e Evandeilton Lopes,3,3,0.0,0.0,0.41997368329829116,14
Luis Benites,3,3,0.0,0.0,0.3333333333333333,5
Roc´ıo Maehara,3,3,0.0,0.0,0.3333333333333333,5
Victor H. Lachos,3,3,0.0,0.0,0.3333333333333333,5
Nathalia L. Chaves,3,3,0.0,0.0,0.3333333333333333,69
Caio L. N. Azevedo,3,3,0.0,0.0,0.3333333333333333,69
Filidor Vilca-Labra,3,3,0.0,0.0,0.3333333333333333,69
Juvencio S. Nobre,3,3,0.0,0.0,0.3333333333333333,69
Taciana K.O. Shimizu,3,3,0.0,0.21022727272727273,0.41997368329829116,67
Guilherme Parreira da Silva,3,3,0.0,0.0,0.3333333333333333,71
Cesar Augusto Taconeli,3,3,0.0,0.0,0.3333333333333333,71
Walmes Marques Zeviani,3,3,0.0,0.0,0.3333333333333333,71
Isadora Aparecida Sprengoski do Nascimento,3,3,0.0,0.0,0.3333333333333333,71
Ibrahim M. Almanjahie,3,3,0.0,0.0,0.3333333333333333,75
Mohammed Kadi Attouch,3,3,0.0,0.0,0.3333333333333333,75
Hayat Louhab,3,3,0.0,0.0,0.3333333333333333,75
Ricardo Puziol de Oliveira,3,3,0.0,0.0,0.3333333333333333,76
Marcos Vinicius de Oliveira Peres,3,3,0.0,0.0,0.3333333333333333,76
Jorge Alberto Achcar,3,3,0.0,0.0,0.3333333333333333,76
Nasser Davarzani,3,3,0.0,0.0,0.3333333333333333,76
Andre F.B. Menezes,3,3,0.0,0.2334384858044164,0.3622134499883192,67
Saralees Nadarajah,3,3,0.0,0.2334384858044164,0.3622134499883192,67
André Leite,3,3,0.0,0.0,0.3333333333333333,78
